"","P_GSM508710.CEL","P_GSM508711.CEL","P_GSM508712.CEL","P_GSM508713.CEL","P_GSM508714.CEL","P_GSM508715.CEL","P_GSM508716.CEL","P_GSM508718.CEL","P_GSM508728.CEL","P_GSM508731.CEL","P_GSM508732.CEL"
"UQCRB",373.745103511669,304.038852958553,268.269872817359,233.527211047878,321.273327589036,460.897343060766,219.688445652208,385.148531595948,474.607261088289,546.483150891861,537.874014049134
"COPS4",242.943353688281,174.179899711082,353.431633944416,325.075277027483,236.818168536462,347.18304957106,192.340111658656,368.785902246886,629.966332126511,790.852007160601,215.911608650626
"NDUFS6",951.860260950431,813.511756248074,1417.35932453409,1257.55069206919,938.727106253943,1180.98317724612,682.70418601475,2336.43365812217,1092.39949173479,1691.4629419562,1082.99904997372
"FH",329.094264890204,256.863544226422,428.948848934591,416.55917784098,271.776790009215,412.044473464105,319.672876595613,433.185909380776,395.990287242098,411.658399479791,146.340806258133
"MYH10",662.306721212045,861.57509363358,761.370286841616,532.155015649487,450.637872523014,841.164432793012,416.339239082607,950.122558075306,657.019666614131,746.73567402236,598.434422568131
"PPP1R2",68.2356424239638,57.2678792448082,66.3748043051226,65.8944738517666,68.3298787577273,72.5169412498586,58.9030473780081,66.5025934794044,63.0483980618035,65.4675135332039,47.9730448917347
"FABP3",71.4126588543896,61.6276229296919,61.4482864774245,60.1604510530494,77.4445873151874,64.9442128482699,59.8854462035578,97.4931629135424,49.2813582684651,74.9870855564881,79.2856349128612
"SFXN1",96.7029005976717,82.7061369404071,77.8263892184722,82.0146629442825,73.2897364825303,125.148836087276,82.9120836257302,121.0046550239,131.121413740657,161.418538563846,101.2113813096
"UBE2D4",1197.57885168773,1113.09326669921,1288.82296863388,1290.64809208032,1045.27945693569,1150.82281316296,1348.17250904688,1192.56688774836,843.281177345518,843.139185508587,1334.77872437344
"CDK12",171.81405267412,202.603589007825,152.716376517914,215.2467510721,208.410775321966,200.876567640309,288.120218774851,132.272686622647,152.985980186393,127.337117551208,175.181826794535
"TPBG",258.237501934278,484.309387271253,404.490095698902,218.006651279911,243.591841057078,312.626041222593,275.035882596253,238.250506451589,412.68961758163,313.388975018466,262.561068839696
"ATG5",68.7774822152146,63.1981031567009,60.2951156033257,59.8395845316138,66.7220737970977,58.6427768370367,64.5829772667302,59.7849664951778,62.917716442659,63.856191575117,62.2576399107544
"STAT3",566.465879654528,373.452268927994,417.804720169305,359.718351220278,539.169517212,330.013907651903,435.555170294275,416.591047419965,306.119535558171,295.069074857139,459.467197560504
"PFDN1",388.716026119673,440.154963667141,579.099361831644,496.294510294892,586.122311378315,538.600375866286,532.282792335363,527.830724622085,529.158555693431,604.978805471619,416.565157188592
"LRPPRC",290.488182820301,406.66551463306,586.910113150743,478.84002636878,321.483764385477,472.425968018189,258.588063855818,734.88663498114,822.422044449335,874.178853718377,112.908724952979
"WAS",757.508931598189,848.611772388052,815.77807824852,806.000527346797,848.740429877266,725.956000931508,826.326466487844,868.099598269331,653.943536218812,675.39527728012,889.494521200756
"RAN",441.722879485264,381.434640778444,385.365962974689,446.119366092208,346.81457485934,530.688582964403,222.429493877625,611.461539008794,893.010235479538,745.044608125411,335.577669036954
"NIPSNAP1",854.397074631802,823.033187875886,956.572271410049,672.074718410017,795.987761951919,733.440247248793,846.456499101248,976.503418116273,508.875150923406,633.684405263005,798.40921406922
"RBPMS",78.9338318469533,93.021275978102,132.30607410055,91.9946336419603,269.658721427617,108.430590427316,101.990859429769,126.48526279327,99.4342314522028,140.103477034906,80.6148324060198
"PTS",414.809338684301,443.656640714052,560.687550410374,597.333922237067,424.934474536326,583.894282289697,256.767176146259,639.821629295955,625.424753045886,840.143852182769,180.426361085228
"RBM10",490.211212752213,693.993105426259,690.100771071047,1033.89486704248,738.927035892382,691.721082775914,679.993298788286,801.168091773344,680.986028362986,844.974633872659,276.163986768084
"SHC2",472.803616165628,644.234194698674,431.697628694143,801.087748011329,567.175840137997,523.034477087918,689.274716446763,654.251149967008,375.382872569388,325.28986190143,467.422693261799
"EXOSC7",217.781067092445,192.280862661628,274.777978477523,297.942841376018,231.453141981182,288.261670920348,155.733777400511,415.174120864777,207.020209658362,320.915111950332,158.35026930421
"TRIM37",852.452950063099,693.311680654691,744.796117690768,695.930813183318,349.276584727516,1202.86290822143,494.534194402571,1256.89288001892,806.604764961612,818.361524712975,266.212416834178
"ACAT1",505.371404573981,433.926115836012,731.547944340375,849.297873893153,414.822292600756,743.659208007154,389.518968033844,783.260906753028,670.268332962427,992.832133269011,244.682333655851
"NXF1",380.459341106054,417.125095349901,413.252840216518,405.319140306506,387.173602464993,340.907817919524,380.254503041242,424.498892279065,399.433254389287,447.70988082223,204.083395248293
"EPHA5",41.9496475112052,42.9473313380213,39.6198931071653,36.874556331571,39.0414678574887,37.4138452534701,35.2122564616129,44.4755007869274,34.2353627278595,35.7249034269028,40.6265293746814
"RAB2A",218.14133529099,156.107362240783,243.978096046125,212.509692040855,180.284794523532,305.251808638092,167.365741825729,207.608684018353,226.720156446285,221.609810460196,97.9375721384012
"GMDS",134.889893777253,166.478071943387,132.500142871275,136.463931054501,172.923793903068,123.072144957525,125.615987164589,156.467837890172,112.96094323218,139.669184199087,95.3106423208726
"SERINC3",635.541362699013,637.673767284223,842.495226341043,846.687764938742,669.87672992461,993.748633640789,437.460393224474,974.450244650365,1590.21215651434,1488.5926887713,432.423886242995
"TMEM14B",71.3833822980137,57.3347723067461,157.436601057092,111.295228455194,62.1827161048797,92.0638234809676,52.8806228322617,159.258756311718,127.852778595838,239.786369925316,41.1240966310393
"PGF",87.511336227324,90.6577896633571,103.132786993764,84.3250461497406,137.184560602468,115.371644888337,154.372557845661,120.790743484795,97.7653208652743,106.222598903535,107.218600723733
"DCUN1D1",208.172016764375,237.40269930361,227.692908427205,213.086962538189,163.11412495223,301.491491023292,182.23382448195,261.588622283291,363.810980326474,399.686686643335,266.216834508414
"KAT5",375.756042562622,412.838096474016,440.663944564769,309.075293003204,396.332924951513,294.244389009581,386.917289355323,402.496779031185,378.263312420603,308.416334452715,377.715782283882
