"","P_GSM506039_1_1364_BA9_Pm.CEL","P_GSM506040_1401_BA9_Pf.CEL","P_GSM506041_1516_BA9_Pf.CEL","P_GSM506042_1647_BA9_Pf.CEL","P_GSM506043_2515_BA9_Pf.CEL","P_GSM506044_2525_BA9_Pf.CEL","P_GSM506045_2685_BA9_Pm.CEL","P_GSM506046_2729_BA9_Pm.CEL","P_GSM506048_2977_BA9_Pm.CEL","P_GSM506059_5138_BA9_Pm.CEL","P_GSM506062_5441_BA9_Pf.CEL","P_GSM506063_5476_BA9_Pm.CEL","P_GSM506066_T72_BA9_Pm.CEL","P_GSM506068_T127_BA9_Pm.CEL"
"PRKCG",83.4744705897307,79.6265374223844,83.4271917613839,81.1896121875775,85.2052617952837,65.929417080366,68.3550288725395,65.7073978413754,74.9489215250174,64.4323508993614,64.3498235608016,61.9742741089734,83.6509333465904,81.6345654035657
"EIF4H",998.892218399341,1142.57671579378,1307.68234242884,1640.20455360474,1669.44220225655,1345.98171695758,993.515588748439,1084.78816228894,1641.5511084856,3240.90521403462,2857.35264433242,3816.17953818358,2584.94300790189,1060.29390807195
"MAP3K8",27.8851637689433,27.8189622487791,28.7107725006507,30.4681133191846,27.9158883173557,28.571720845368,28.9017134360269,29.5120029813335,28.5901707640731,32.9394756026925,33.0543614350073,33.3042190065012,30.8656627001247,28.4417717741944
"RPS23",6919.70238114354,6209.40479754557,8598.5625561286,7786.95169756775,7215.73398010509,8306.39787716294,8068.28007283509,7598.43367315615,7424.65121292387,9498.75564679144,7399.79880137794,9701.03492578986,2569.77246888376,5254.36167252005
"SCAP",517.939980839812,445.568920838372,391.872149936215,243.138045364047,490.822244397941,304.678236686351,277.977075600096,281.875661978689,367.188883659359,626.364900795656,541.353089789529,677.207159454377,680.293252402092,351.219291410666
"DGKZ",2208.17092385311,1626.71710294478,699.51569863181,198.442639541146,1120.56094546723,283.73972388959,575.820373012057,655.93477704651,869.416878958249,186.801260170518,164.390595016534,188.993752310481,847.137094034756,471.125328000059
"MCCC2",53.0908961237959,51.3936653838905,51.0840562841478,54.1585729816674,55.3833146705025,58.2887957983476,54.1585729816674,56.2741240336398,56.7985203018157,52.2661985859321,55.2552289296361,54.5733541842975,52.3267422463916,55.9299310165708
"TFAP2A",76.6977212414552,60.241701122579,68.9570735788654,75.5350558253176,66.5123552657363,68.0522582356178,76.0343896294535,66.3621942264283,68.1786419548225,51.1854709925401,51.5063709319893,48.8333984191735,70.565448092465,67.9137690078561
"DAZAP1",202.035010728313,165.221992679187,161.051280608311,163.170045026945,156.582666185445,185.311237694868,140.526288612309,163.282476434808,163.699838681253,141.607115274843,142.498531146364,147.392122523864,160.151812283433,180.620486309807
"GTF2E1",96.129480788502,134.834614494059,140.719909482162,178.241666560258,124.630535789422,98.1055676728958,140.28328387495,131.292364566583,120.618579514531,217.108330681871,217.466775382853,187.853059613992,100.620153289457,120.37037854434
"APIP",115.202836690137,127.594742797694,84.0085705471032,190.217182170181,124.11715132955,141.538327854117,115.01474380931,143.246037034734,118.207369995398,344.883415727436,319.076877647954,249.694662104472,95.7829832034464,116.847341844166
"HNRNPAB",468.051202251586,380.363547875829,455.822558925594,555.470257727998,481.77491494191,844.699280355611,624.986558439467,544.004747663772,877.686278843276,980.889749095761,937.047507349813,1149.01106783448,640.575494057653,645.669300838884
"PELO",36.6328493010928,31.2599249682294,32.9612441525254,34.5277453959992,32.4485749726814,32.3898334307163,31.7954256624978,31.449632344074,32.8946100311654,33.111440854413,34.1143329936863,32.9388732859623,35.1180464209217,32.9042403004856
"ZC2HC1C",58.4234624125496,56.6454808147407,62.0068326523125,62.5520341702471,52.6240823822676,62.4679007463103,61.0839353216395,58.8688847348198,56.9018221110715,63.4454303081557,54.7282436637165,60.2373487420726,56.7956227858176,63.0519984380986
"TBK1",276.161204380425,361.048377964706,338.560749654223,552.181823911242,367.724792834557,359.649939274026,345.130376389386,307.23133964858,387.396441599446,567.312586097905,715.127566033154,729.347319904659,435.813108941324,397.507023441094
"BFSP1",72.0515842069638,62.6116294277689,73.4076489906498,64.93647909925,68.6492647651207,60.5056211698929,68.2448632618266,66.387290068805,72.1395247040045,63.8893118299573,60.6015276858848,64.7366517460974,101.331946539703,77.3069578607967
"TEK",500.902038978552,424.799347837514,418.527913221248,412.917915978269,364.880775512543,385.471179560122,496.599071115257,458.975254800326,452.337749089835,293.426375215921,252.696177907859,244.555342480135,419.615195507258,440.525756507039
"POLR1C",231.803236914176,233.058942571328,214.816795008497,166.974194040659,207.0533220746,231.350718875724,227.355536848737,193.698257738238,193.713436572955,199.95549409686,196.436853226789,210.466347326928,167.340164694076,193.335613025773
"ALAS2",229.314713424258,119.949968307674,123.179280807738,174.303267866883,141.651409972048,174.04114731254,140.774296434752,120.373438927992,108.938234615766,85.242515825116,91.8411059123518,89.3990526314764,154.604923983878,180.240401985475
"USP4",531.188217758313,578.63070772023,904.003060879134,458.833730427046,582.281484408284,599.087713828918,569.925558087689,717.805242646153,532.47305860834,537.420496818999,433.982575697285,366.541400012779,603.951839233441,922.46809297904
"AP1G1",210.573898201643,249.722104018921,208.422466724066,287.053581600179,261.785893791979,226.636653628328,233.602364232429,225.07544637782,230.359892365552,561.182418318659,502.955566385175,526.018969289752,256.749269760115,256.203988455175
"SNX1",113.904591074567,106.445648657365,124.060539309891,105.346783955802,101.515488192625,118.726117181654,124.510663536573,129.017718077315,124.676656434727,89.4967717429916,90.4278515520512,78.2990961863557,118.284929070829,106.503708723321
"S100A1",1348.89984322206,714.461397315018,481.400110842253,397.649385059111,697.062630467821,753.61714910038,642.354112177018,689.270610049314,421.527418925224,168.309483732934,173.530380829876,194.614352077751,341.111882287021,425.90376817706
"SF3B4",282.157007105814,153.93775273258,127.185910371855,121.608471659484,124.783450659719,163.849158088715,152.879904491246,154.581097745415,128.584480459387,114.76921067733,96.765998401293,99.2784476744774,174.298642686381,131.232604910845
"RNF5",111.316343079944,113.643249866886,126.820412314176,103.766304596297,99.0238076505873,99.325618463681,107.472983096696,97.2240466555143,106.269905426856,79.4046206148929,93.101478827098,89.6481481063232,99.6468800971237,126.530864780385
"TGFBR1",60.1106470383602,60.4716648304418,58.3171875897709,63.9650534770761,56.4612864107481,56.7984909424004,59.5028132452737,65.4838540193572,56.9487045272259,62.1404063428973,57.2835372180547,53.5803091355423,59.4091308578947,58.7171061218244
"RPS17",5337.15111245168,4767.74101214103,5054.00248554768,6421.05030278849,5498.34764808083,5556.1603872305,6120.76216079492,6167.34201021072,5465.8808548796,5431.21286743199,5432.1404157163,4846.88859932646,3454.55610479012,3975.92856833116
"KCNA1",106.770451041772,135.309123321073,124.36563286986,103.406491319423,107.654995422815,98.9694427759898,116.440106215624,141.717815603578,91.8141964333781,88.6890931640766,92.5266711642367,85.2231480959926,112.420948889458,105.273170921749
"STOML2",148.861290308772,152.481497054238,171.42725118133,210.035628280631,250.790619082375,186.795281771341,164.637789539529,123.403443586818,228.237394552506,487.700425361191,555.018592313366,582.94323614935,547.104869979655,153.558412426302
"LMO3",2525.42418111501,3613.96024453463,6083.61808948698,4479.65174976334,4639.56592253741,1706.37891898402,3634.41226984774,3237.50457547598,5041.18892015604,4683.60849208225,4983.77922882982,4747.29254454216,3836.26520609069,4367.45640114877
"BMP8B",58.5914786446584,54.7059453674351,56.8444323881049,67.1338493824454,48.6823751145391,55.3897833699097,51.3806607512951,52.0398207535596,52.4656528809673,45.480362962235,43.7997495138734,45.9531261716751,59.8681995791313,52.6601118717235
"ALDH9A1",938.270724618728,785.071364106095,1113.51359285721,1018.10102453411,980.938010960235,1300.68437546176,1250.49841556279,1278.00160509856,762.714468016942,1232.74365285186,951.81826430657,1004.00392536586,905.637103212657,705.999124907261
"UBL4A",337.763959443263,416.264539356362,432.562488885356,369.352424542745,454.666022469529,211.041092449176,323.817782639658,258.140845021267,378.985673503759,344.47058888539,381.529410362016,554.58445492258,667.175919508793,325.565276574183
"TRAF3",133.662296458635,140.810131395204,144.593331139332,139.28637288823,125.678353558386,151.305932099389,134.39449946285,129.292281737372,139.211949206033,106.514759192066,126.944884079143,153.654407661611,99.8725467253658,164.927170692723
"WDR77",264.856238453177,268.528795552557,273.781008555922,267.448047437666,269.061939418566,266.579203463555,267.196185699156,273.103078565865,244.669114434768,230.987793115334,248.710699531728,279.663468013779,257.891481831088,268.265379768671
"PSAT1",128.673275773336,178.397056422849,114.274962424723,93.2266948382089,203.362901206644,194.501507763802,261.304413534223,218.125071625793,229.365222700611,122.841537631206,96.1828522277992,94.04735366948,122.440004501406,129.255521517762
"EIF2B1",230.163825764022,263.132763673987,197.356661712641,238.243536861108,266.851485855896,238.243536861108,185.271102963324,212.572599752942,238.243536861108,364.590948173187,299.90673384378,339.808171906129,248.822863834323,238.243536861108
"MFAP1",338.980398192011,394.790427589419,536.783513092687,547.516299161246,420.274117083591,421.999075113841,378.774998437936,310.75844593683,319.80960065985,571.938437426739,752.519909033126,860.149943841435,489.631219483841,381.443394657907
"CDC37",370.526610837629,320.814348395209,129.3680484769,143.512020697667,358.753942876746,320.815656177852,213.645866385983,211.166727980025,363.16906390992,106.01557122281,118.145785905442,164.534588692635,178.960804668931,125.453275843446
