"","GSM503958_PD_1364_SNc.CEL","GSM503959_PD_1401_SNc.CEL","GSM503960_PD_1647_SNc.CEL","GSM503961_PD_2515p_SNc.CEL","GSM503962_PD_2525_SNc.CEL","GSM503963_PD_3769p_SNc.CEL","GSM503964_PD_3790p_SNc.CEL","GSM503965_PD_3803p_SNc.CEL","GSM503966_PD_5138_SNc.CEL","GSM503967_PD_5476_SNc.CEL"
"AGAP2",19.1329196126083,6.8501895234649,18.7096112506394,35.267182928265,10.1084748133011,40.7806430010267,27.7930683472812,29.9938943503616,17.8718650750702,11.3985170909367
"PITPNA",5.05275639749359,2.98585345458828,4.43363937620966,12.3128139560292,8.45238048687675,5.1743643962183,4.30936828794118,14.9584367779928,5.86284724589836,4.02495904840351
"LDB1",9.23785949480841,5.25403368663777,4.23121287416629,12.5014633130131,5.51681044437388,26.5674316641238,19.6493859938181,8.74746601212618,3.64803139659658,3.4876623764432
"IRF7",2.84736091554841,4.92513076650205,3.12477854245906,6.26320892577309,4.48543453540341,5.10651276042253,4.41216248328319,4.20480616050913,3.50204555633864,2.70965707323978
"DYNC1I1",42.3807491473328,13.2631799268665,43.4844258699199,110.800874743198,21.1052448568429,7.80549603555206,8.67241573116436,220.057519571073,48.3291307078263,108.784175215802
"VDR",8.1723205241196,13.7746015593205,10.2523310990735,15.5593920518382,12.4422666226901,23.7917014076566,24.4148031835209,10.4549222333143,10.228824738106,7.13061959103404
"KDELR2",9.08226607249334,14.2735310884133,11.2088233219975,14.702991749077,10.1622437460609,10.8445663976006,10.8816766243798,23.0709358886756,19.5033722138415,10.9570519462139
"CASP10",7.18662102355834,5.62547068214324,34.3141944658665,4.52162877963827,12.4754052605015,6.6472167403874,6.19423432252743,4.64937537692888,8.87230937143984,7.07592938347026
"NOP16",2.35927681640039,2.45246448764181,2.22154728447445,3.3854779680471,2.31834480565595,2.313297826752,3.03409719000229,2.44322775313263,2.52737928770892,2.11816343514785
"DOT1L",4.29797763522002,3.03180381750492,7.70558190695833,8.14422374582864,4.84628403004658,7.8876471490192,8.62948113613825,7.32445013561805,3.45664794217387,3.5005859294057
"TLE4",36.2157429918061,29.4646440920417,113.605724158583,40.7639854053497,34.0158351629615,7.45660624265472,38.0575040229412,44.8542987340197,226.291415842943,271.143923430196
"TAL1",5.439181819033,4.69850734083492,6.25970591814662,14.1012168580527,9.61076473267875,20.4333820250082,13.2730028283509,7.64171095905385,4.56454682647816,4.18934825863697
"CAPN3",5.85806748580707,4.74178910754061,11.3252920503754,30.2745380598504,6.26420160919385,10.8536035719681,8.19522095747832,39.2422097661176,3.85622196075533,23.7167238269403
"RTN3",314.349561243336,115.751383413624,473.117313215495,399.290127745207,409.075866551309,33.9957652601425,49.3742234817836,472.231614763766,533.993668302751,744.29384672856
"KCMF1",32.5331473206855,13.5983705728639,13.1603499269705,40.1422453229484,4.39271215432956,6.43869812576766,12.6448762690467,34.8822229314817,40.3497332009207,30.1719568250842
"DYNC1LI1",5.957102215411,4.86569999071088,8.54324319957036,25.008064175216,4.91011439711018,4.65308413600382,3.83861349460147,43.9783768966976,6.99495652951614,26.0940323439177
"ATP2A2",70.361053095478,7.62248191599292,183.779670627859,91.2107507604883,21.835868886804,6.90934626257461,8.07038691355521,82.2684163971449,182.061615184839,413.501355428945
"BCAM",14.1442856611868,3.67546110841535,12.1385114189156,10.8417030701557,12.3239938997769,13.2034892753515,14.5234825168567,7.95585086190115,6.16907447623358,6.06384895176899
"VAV3",12.7151147208056,4.84115733528039,4.43563558246719,4.81208914769249,7.09594758619702,2.73147181451012,4.25758776339227,37.5367998387751,10.0163289325959,18.9369531376744
"CDKN2A",6.61319172083054,7.63475668263148,10.7568213506421,16.7434737361841,10.1329705813782,26.4662073284627,35.2909650751173,6.97014903344509,6.29403316089689,5.41140352380337
