"","GSM571695","GSM571696","GSM571697","GSM571698","GSM571699","GSM571705","GSM571706","GSM571707"
"TPP2",59.1790240733219,81.7003866001469,112.192233600433,81.0320087661551,101.100267203543,92.9552858238372,82.0544686899027,91.1671392125419
"HNRNPR",104.796302113299,122.274605514685,186.189383152851,127.988998840733,200.202336319912,161.190398462654,120.428746818739,175.792657123322
"PPFIA3",165.000204235555,155.181094882248,131.992578158251,149.648084272956,152.181059338122,148.105252913276,137.366556914682,184.228059160104
"DHRS11",68.8954594383809,86.4383123674986,73.5555858729286,93.8379115440747,85.9353017968869,77.5732854457821,74.3023018319592,84.3548433436007
"PLA2G3",79.8178215986913,72.4488055791024,50.0889338901636,70.6007204234962,57.9386032393312,77.6085663922631,64.9516828407787,61.7113093520865
"HACD1",16.8874547647889,19.7516736564112,19.9253063417808,15.5618427333857,17.7562128147744,19.0084501258732,17.4691196393884,18.9383534570303
"C8orf58",87.2055469852771,80.8630659614579,79.4057183103345,84.4472770582869,75.2387512865614,83.723690431175,91.538389202476,76.706291061053
"LOC105375571",11.4150794834317,12.9739510894075,12.2625065334635,14.8347838387734,16.6420240074827,13.4361322882683,19.2165041364024,8.21796963598501
"MAP3K4",115.401966650199,145.80203038343,182.750431200225,136.767345120941,194.943467362054,157.30034230341,146.058245962302,172.73516465892
"LRRC3-AS1",90.4425648014165,66.3071710685434,58.2417580746572,51.9558754153719,45.2213137457235,65.6639212164048,68.4442290932274,56.5036045659481
"PLD6",180.416440455153,154.906621137819,171.626795119186,185.179424787082,162.221024437926,174.77378555746,177.089516687774,174.796562105311
"KRTAP24-1",59.9482610442764,53.8482292976355,44.0513705305326,41.2401021187618,18.5265584280289,42.1388489082408,44.0408985848657,29.3917223899064
"PFAS",126.678247168874,127.254159184553,115.480143883425,125.925181484732,118.401455024821,124.885831507459,120.775331298233,133.294736255605
"ZNF416",68.8761692432787,62.1370997453764,61.1953021911407,75.450575507752,70.8611021639184,61.6426936194686,74.0154733165262,73.9694682757623
"POSTN",9.19433351892604,7.97146009438495,7.20667107630814,7.50355879137346,6.73758701410601,8.10537536837585,8.32892903288928,7.37628807416993
"ANGPTL5",7.01430420244128,7.01695932690572,4.89971556060435,6.64232355574017,6.2291572821886,6.2346259183425,5.92194462415354,6.15065902816086
"LOC105374399",9.17719968948564,15.5987119541997,41.9484325892754,46.3311953682587,19.6107526319283,34.4188025274388,19.5702326276933,12.2066549456137
"FKTN",33.012259933941,38.9540114959844,52.3109476287464,29.9246817701761,45.5889728634744,34.8825595891733,35.5758667238292,42.7946635452605
"ENPP7",188.797126923483,145.377480738316,125.832257598239,166.450569921078,115.188988611317,157.056734935228,138.685678121166,127.370379343508
"NKX2-3",126.999059250223,108.744603641682,92.0343172138687,110.679559731612,83.4954687276145,97.4317450297503,113.453240008774,89.5296102076884
"ARL8A",290.714455566054,627.447960913048,728.632734135648,568.478509128183,654.40365687259,658.586441109893,435.509083653505,486.342884431499
"ARMC12",53.972514619645,45.633708611599,47.8265559605718,50.1794238153313,45.8239843535901,50.4070283355619,43.3771391184042,47.9899697981235
"ZNF18",53.3697741117003,58.5624091680426,63.1077813923357,58.3353303373764,60.5527677870828,54.0270872776571,59.4367777515938,57.7217846160787
"LOC105373759",70.5540502532586,59.2781286976419,49.8288371054855,100.936838866524,80.6731117497892,64.4696390010967,66.0876137654648,71.1214582557739
"FLJ41170",100.082089146709,108.810502238175,65.6501771968954,116.585374076157,135.119398433206,75.3515351871782,120.593722537497,137.604229101147
